x(nm),y(nm),z(nm),cluster label (-1 is noise)
10368.85,18755.68,44.40585,3
10368.82,18758.37,50.15252,3
10363.89,18757.55,53.42471,3
10373.03,18766.4,52.18616,3
10364.6,18756.09,50.46439,3
10369.6,18755.68,49.72568,3
10365.49,18758.23,52.9875,3
10326.61,18757.33,37.14689,4
10394.41,18760.42,24.51578,-1
10395.86,18738.69,65.79106,5
10396.59,18734.89,38.79498,5
10396.06,18739.37,49.21185,5
10394.67,18737.44,54.89053,5
10396.59,18732.87,80.47266,-1
10364.97,18752.04,48.76397,3
10365,18755.74,57.88984,3
10374.22,18756.93,42.83003,3
10319.27,18785.42,68.88491,-1
10313.27,18773.59,56.76768,4
10310.84,18774.89,21.72788,-1
10313.32,18779.81,38.86861,4
10319.73,18775.91,39.73866,4
10314.71,18773.73,11.62392,-1
10318.42,18769.7,49.95456,4
10314.53,18774.29,34.77783,4
10315.37,18773.39,38.88342,4
10322.26,18763.3,70.07304,-1
10326.81,18765.39,63.51743,4
10327.16,18758.99,41.00495,4
10329.33,18759.17,33.44994,4
10329.31,18754.42,26.68828,4
10329.44,18761.01,58.44464,4
10398.99,18745.26,88.83622,-1
10393.56,18742.84,72.98221,5
10398.24,18740.16,34.71161,5
10394.6,18747.58,58.65125,5
10395.54,18735.68,39.91776,5
10398.04,18731.36,31.58338,-1
10386.69,18741.32,54.57064,5
10389.75,18732.75,36.46396,-1
10399.72,18735.85,46.61761,5
10389.82,18812.3,177.0175,-1
10377.04,18706.97,4.66554,2
10371.91,18710.54,11.22088,2
10371.87,18714.68,33.80811,2
10286.38,18765.61,7.594882,1
10289.68,18770.92,-11.99105,-1
10293.32,18771.1,0.2694102,1
10289.33,18774.96,0.5810949,1
10288.49,18770.97,3.33479,1
10293.84,18771.29,3.16705,1
10288.66,18770.34,7.428045,1
10289.52,18764.69,20.75153,1
10291.08,18766.19,15.45442,1
10289.07,18765.04,4.386193,1
10290.5,18764.22,3.273011,1
10286.35,18769.73,19.71097,1
10286.71,18768.71,12.6591,1
10290.42,18767.19,9.826316,1
10285.78,18776.32,-15.08284,-1
10295.17,18784.13,41.48426,-1
10330.45,18752.11,51.55647,4
10328.27,18755.57,33.01676,4
10324.35,18758.68,38.457,4
10329.65,18756.34,38.56184,4
10331.11,18758.92,42.77894,4
10327.02,18757.15,44.77354,4
10336.76,18761.31,55.10582,4
10370.29,18711.43,5.980825,2
10371.76,18711.45,32.35342,2
10378.39,18719.25,34.31167,2
10282.69,18772.26,7.603435,1
10391.47,18740.47,53.0154,5
10387.7,18740.09,56.97028,5
10386.26,18745.83,58.41853,5
10390.59,18734.74,48.69752,5
10390.78,18737.31,72.16848,5
10395.29,18737.35,69.22713,5
10392.62,18742.05,49.16662,5
10393.39,18744.15,58.99136,5
10370.58,18761.9,34.11034,3
10373.48,18757.67,45.8574,3
10328.57,18753.89,23.47814,-1
10331.42,18756.76,37.0128,4
10326.16,18756.33,49.06894,4
10324.91,18754.97,33.98615,4
10314.9,18762.64,45.91809,4
10316.16,18778.51,50.90142,4
10312.54,18775.04,44.08708,4
10312.83,18774.01,51.32043,4
10355.2,18731.97,110.8963,-1
10366.36,18750.69,58.11858,3
10366.73,18757.78,57.01046,3
10364.81,18758.83,32.91024,3
10363.25,18761.68,39.38627,3
10363.96,18753.36,55.44065,3
10366.62,18751.11,40.20024,3
10363.46,18753.49,41.89356,3
10365.22,18756.21,41.26342,3
10364.86,18756.01,29.30014,3
10367.45,18751.63,32.16877,3
10320.99,18773.57,36.67778,4
10314.41,18777.47,30.42767,4
10314.05,18775.75,56.95271,4
10309.89,18775.29,29.61881,4
10313.12,18773.83,48.76788,4
10367.38,18755.24,43.23932,3
10371.12,18704.6,13.88444,2
10367.43,18709.4,8.606111,2
10372.04,18714.26,7.786926,2
10374.2,18704.15,6.876853,2
10372.22,18712.81,11.84316,2
10376.44,18709.5,33.30473,2
10379.04,18706.42,22.99576,2
10377.09,18704.38,2.325871,2
10372.03,18702.08,16.67983,2
10374.32,18701.22,10.13209,2
10372.45,18704.09,5.275583,2
10376.06,18695.45,16.6357,-1
10378.07,18703.94,1.465422,2
10375.17,18706.49,11.92383,2
10372.14,18711.06,7.777131,2
10371.69,18710.44,25.54497,2
10379.97,18705.24,21.59025,2
10395.6,18708.93,-6.821548,-1
10314.8,18776.21,39.89548,4
10309.58,18773.55,46.07285,4
10314.18,18773.36,27.66086,4
10316.58,18770.74,42.24841,4
10313.72,18776.68,37.10224,4
10286.41,18767.4,2.562674,1
10285.42,18769.95,1.533041,1
10288.06,18769.61,5.001913,1
10286.02,18772.27,18.77578,1
10284.11,18767.65,24.10187,1
10281.17,18771.24,32.42028,1
10281.26,18772.21,15.32841,1
10278.34,18770.69,12.44933,1
10282.03,18771.18,26.48545,1
10366.44,18758.75,36.5192,3
10311.17,18768.68,66.69766,4
10310.21,18775.07,31.06505,4
10310.04,18772.64,54.23954,4
10309.86,18772.98,40.95737,4
10386.45,18775.6,29.95982,6
10390.24,18772.76,4.639176,6
10388.39,18772.82,21.11388,6
10387.83,18772.77,15.82233,6
10386.87,18767.4,43.1597,8
10387.13,18772.28,13.81253,6
10390.73,18770.46,16.71119,6
10385.6,18774.21,26.89396,6
10328.4,18756.42,32.01901,4
10323.85,18758.63,33.9579,4
10329.61,18759.06,38.90394,4
10332.86,18759.27,42.05508,4
10323.9,18761.66,46.72027,4
10317.24,18772.95,47.7912,4
10307.5,18773.4,37.58867,4
10395.26,18740.4,42.53397,5
10391.16,18734.51,49.29176,5
10371.12,18719.26,19.25097,2
10370.83,18715.28,30.87616,2
10370.96,18718.19,23.30511,2
10371.75,18715.79,23.3875,2
10372.64,18714.8,25.70488,2
10371.06,18713.63,6.037941,2
10371.36,18709.4,10.75596,2
10371.82,18717.53,17.5626,2
10364.91,18751.85,47.77948,3
10316.66,18780.3,39.2249,4
10367.89,18757.7,31.66444,3
10369.3,18758.64,25.2612,3
10316.25,18760.75,49.59278,4
10324.81,18760.81,55.93431,4
10325.26,18762.69,47.17267,4
10374.17,18708.7,27.54028,2
10370.16,18754.64,41.76844,3
10367.81,18758.82,35.02641,3
10373.61,18758.05,14.69875,-1
10371.53,18763.68,28.63548,3
10368.21,18745.15,28.82095,-1
10393.49,18732.75,69.52469,5
10393.8,18742.96,103.5208,-1
10320.54,18767.81,46.5086,4
10317.04,18776.05,42.61069,4
10311.36,18772,46.08964,4
10360.77,18735.26,29.05029,-1
10375.65,18701.92,-3.512298,2
10379.23,18698.76,-3.356916,-1
10393.13,18769.91,12.92978,6
10388.48,18770.8,9.181474,6
10386.45,18775.17,5.031682,6
10404.54,18762.28,56.60728,-1
10401.71,18773.87,41.78057,-1
10396.86,18774.81,36.87521,-1
10398.77,18767.03,55.44165,-1
10393.79,18779.02,-12.64446,-1
10385.25,18706.96,40.74493,-1
10373.35,18705.17,12.30454,2
10372.23,18708.27,25.04404,2
10372.43,18708.55,26.04506,2
10372.14,18713.71,19.38191,2
10380.01,18710.51,7.82315,2
10372.79,18717.72,33.15591,2
10392.66,18734.58,102.8663,-1
10388.32,18775.94,32.24552,6
10381.48,18773.82,10.76796,6
10385.2,18777,12.76384,6
10386.51,18775.07,17.93875,6
10384.16,18769.52,17.65398,6
10381.74,18773.75,6.871598,6
10386.87,18770,20.60635,6
10383.94,18772.38,18.82926,6
10384.52,18775.35,16.92475,6
10303.76,18789.92,36.83804,-1
10314.08,18773.16,36.87281,4
10315.88,18777.37,66.20245,4
10308.3,18782.02,31.67184,4
10384.81,18724.79,-38.73681,-1
10382.39,18708.31,-18.60652,-1
10313.9,18770.29,5.5212,-1
10314.8,18775.7,35.96024,4
10289.5,18767.06,33.50437,-1
10312.55,18776.52,46.94035,4
10313.53,18776.54,57.12774,4
10317.62,18750.71,20.30243,-1
10331.55,18766.48,45.55331,4
10330.96,18764.72,45.77123,4
10326.57,18765.39,42.85615,4
10323.26,18767.52,49.76239,4
10326.25,18764.29,38.24159,4
10347.76,18758.98,40.06171,-1
10368.01,18757.18,58.8487,3
10367.9,18754.46,37.36736,3
10370.03,18715.59,15.51138,2
10371,18714.52,19.4304,2
10377.65,18717.46,18.03398,2
10401.09,18739.19,69.61317,5
10390.55,18716.06,24.46879,-1
10367.47,18717.67,-15.80677,-1
10398.71,18748.38,55.40938,5
10395.3,18745.02,40.95323,5
10390.36,18754.92,32.36069,-1
10386.59,18754.57,19.62325,-1
10399.33,18751,63.37842,5
10386.6,18757.49,46.61488,-1
10390.6,18760.06,55.49895,-1
10396.86,18746.01,47.79404,5
10392.17,18754.28,31.91347,-1
10393.3,18741.49,52.90683,5
10385.65,18745.56,13.84627,-1
10388.89,18744.79,66.06499,5
10386.47,18741.65,52.58457,5
10392.39,18739.55,57.43235,5
10381.96,18713.84,-18.95175,-1
10281.53,18771.15,19.98764,1
10284.45,18771.45,25.00013,1
10281.1,18775.67,34.68578,-1
10287.8,18771.49,16.8145,1
10367.35,18746.31,73.20364,-1
10324.93,18778.46,145.3732,-1
10315.36,18773.57,51.02721,4
10314.97,18776.28,48.59994,4
10315.87,18775.47,49.48742,4
10317.61,18777.53,41.51072,4
10310.13,18778.34,44.29993,4
10319.17,18764.42,46.26449,4
10336.49,18786.82,69.47043,-1
10384.95,18738.3,94.09537,-1
10389.57,18743.66,27.59908,-1
10397.72,18736.37,52.43568,5
10392.61,18741.61,46.94271,5
